country,year,gdp_pc,gii,flfpr,beauty_pc,beauty_pct
South Korea,2023,35147,0.045,54.2,310,2.4
Japan,2023,40246,0.116,51.3,275,1.5
China,2023,12720,0.168,60.5,220,2.1
India,2023,2505,0.49,24.5,45,3.1
Indonesia,2023,4783,0.452,53.4,80,2.8
Vietnam,2023,4110,0.322,63.2,95,2.5
Thailand,2023,7605,0.368,60.0,140,2.7
Malaysia,2023,11627,0.245,55.6,180,2.2
Philippines,2023,3749,0.439,47.8,75,2.9
Pakistan,2023,1717,0.538,21.5,30,3.3
Germany,2023,53157,0.084,56.3,295,1.8
France,2023,47842,0.079,51.9,280,1.6
United Kingdom,2023,46410,0.084,56.5,265,1.4
Italy,2023,37689,0.1,49.8,260,1.5
Spain,2023,34659,0.105,52.2,250,1.6
Netherlands,2023,58153,0.06,58.7,270,1.3
Sweden,2023,62910,0.04,60.3,240,1.2
Poland,2023,21374,0.145,52.1,150,1.9
Greece,2023,23943,0.118,47.2,140,2.0
Portugal,2023,27892,0.102,50.5,160,1.8
United States,2023,70250,0.204,56.8,320,1.9
Canada,2023,59146,0.11,61.1,310,1.7
Mexico,2023,10791,0.345,45.3,160,2.2
Costa Rica,2023,13153,0.305,48.7,140,2.5
Cuba,2023,9641,0.309,41.2,135,2.6
Brazil,2023,9787,0.408,52.4,170,2.9
Argentina,2023,10839,0.378,48.9,155,2.7
Colombia,2023,7714,0.398,49.2,145,2.8
Chile,2023,15982,0.27,50.1,180,2.4
Peru,2023,7373,0.39,48.3,125,2.6
South Africa,2023,6822,0.389,46.7,120,3.2
Nigeria,2023,2220,0.685,48.0,50,3.5
Kenya,2023,2101,0.52,49.1,60,3.4
Egypt,2023,4120,0.449,17.8,90,3.1
Ghana,2023,2321,0.512,44.5,55,3.2
Australia,2023,62699,0.112,61.4,310,1.5
New Zealand,2023,52870,0.123,60.7,290,1.6
Saudi Arabia,2023,27520,0.234,20.3,200,2.3
United Arab Emirates,2023,43451,0.205,43.1,260,2.1
Israel,2023,51634,0.082,59.3,270,1.5
Turkey,2023,11382,0.287,34.5,160,2.4
Iran,2023,3271,0.552,15.2,75,3.0
Singapore,2023,79981,0.067,60.5,320,1.4
Switzerland,2023,93571,0.045,61.0,280,1.2
Norway,2023,89325,0.039,60.1,260,1.1
Denmark,2023,73524,0.044,61.3,250,1.2
Finland,2023,62931,0.056,60.9,245,1.3
Bangladesh,2023,2692,0.529,36.2,40,3.4
Morocco,2023,4132,0.465,22.5,85,3.0
Russia,2023,13401,0.255,54.8,190,2.0
